spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[],30,30,13,46,30,30,13,46,0,0,0,0
[3],30,30,13,46,22,22,9,30,8,8,4,16
[3 12],30,30,13,46,14,14,5,18,16,16,8,28
[3 12 16],30,30,13,46,12,12,4,15,18,18,9,31
[3 12 16 26],30,30,13,46,7,7,4,10,23,23,9,36
[3 12 16 26 30],30,30,13,46,5,5,2,8,25,25,11,38
[3 12 16 30],30,30,13,46,10,10,2,13,20,20,11,33
[3 12 26],30,30,13,46,9,9,5,13,21,21,8,33
[3 12 26 30],30,30,13,46,6,6,2,10,24,24,11,36
[3 12 30],30,30,13,46,11,11,2,15,19,19,11,31
[3 16],30,30,13,46,12,12,4,15,18,18,9,31
[3 16 26],30,30,13,46,7,7,4,10,23,23,9,36
[3 16 26 30],30,30,13,46,5,5,2,8,25,25,11,38
[3 16 30],30,30,13,46,10,10,2,13,20,20,11,33
[3 26],30,30,13,46,17,17,9,25,13,13,4,21
[3 26 30],30,30,13,46,10,10,2,18,20,20,11,28
[3 30],30,30,13,46,15,15,2,23,15,15,11,23
[12],30,30,13,46,22,22,9,34,8,8,4,12
[12 16],30,30,13,46,20,20,8,31,10,10,5,15
[12 16 26],30,30,13,46,11,11,8,22,19,19,5,24
[12 16 26 30],30,30,13,46,9,9,6,20,21,21,7,26
[12 16 30],30,30,13,46,18,18,6,29,12,12,7,17
[12 26],30,30,13,46,13,13,9,25,17,17,4,21
[12 26 30],30,30,13,46,10,10,6,22,20,20,7,24
[12 30],30,30,13,46,19,19,6,31,11,11,7,15
[16],30,30,13,46,20,20,8,31,10,10,5,15
[16 26],30,30,13,46,11,11,8,22,19,19,5,24
[16 26 30],30,30,13,46,9,9,6,20,21,21,7,26
[16 30],30,30,13,46,18,18,6,29,12,12,7,17
[26],30,30,13,46,21,21,13,37,9,9,0,9
[26 30],30,30,13,46,14,14,6,30,16,16,7,16
[30],30,30,13,46,23,23,6,39,7,7,7,7
,30,30,13,46,440,440,184,712,,,,
,30,30,13,46,,,,,,,,
,30,30,13,46,,,,,,,,
spark_connected_component 2,30,30,13,46,,,,,,,,
toCache,30,30,13,46, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[],30,30,13,46,57,57,16,180,0,0,0,0
[3],30,30,13,46,45,45,12,120,12,12,4,60
[3 12],30,30,13,46,33,33,8,76,24,24,8,104
[3 12 16],30,30,13,46,30,30,7,65,27,27,9,115
[3 12 16 26],30,30,13,46,20,20,7,45,37,37,9,135
