job,stage,RDD_3,RDD_12,RDD_16,RDD_26,RDD_30,RDD_33,RDD_39,RDD_47,RDD_50,RDD_56,RDD_64,RDD_67
0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,1,0,0,0,0,0,0,0,0,0
1,3,0,1,1,0,0,0,0,0,0,0,0,0
1,4,1,0,0,1,0,0,0,0,0,0,0,0
1,5,0,1,1,0,1,0,0,0,0,0,0,0
2,10,0,1,1,0,1,1,0,0,0,0,0,0
2,11,0,1,1,0,1,0,0,0,0,0,0,0
2,12,1,0,0,1,0,0,1,0,0,0,0,0
2,13,0,1,1,0,1,1,0,1,0,0,0,0
3,21,0,1,1,0,1,1,0,1,0,0,0,0
3,22,0,1,1,0,1,1,0,1,1,0,0,0
3,23,1,0,0,1,0,0,1,0,0,1,0,0
3,24,0,1,1,0,1,1,0,1,1,0,1,0
4,35,0,1,1,0,1,1,0,1,1,0,1,1
4,36,0,1,1,0,1,1,0,1,1,0,1,0
4,37,1,0,0,1,0,0,1,0,0,1,0,0
4,38,0,1,1,0,1,1,0,1,1,0,1,1
5,49,0,1,1,0,1,1,0,1,1,0,1,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
job,stage,RDD_3,RDD_12,RDD_16,RDD_26,RDD_30,RDD_33,RDD_39,RDD_47,RDD_50,RDD_56,RDD_64,RDD_67
0,,1,0,0,0,0,0,0,0,0,0,0,0
1,,1,1,1,1,1,0,0,0,0,0,0,0
2,,1,1,1,1,1,1,1,1,0,0,0,0
3,,1,1,1,1,1,1,1,1,1,1,1,0
4,,1,1,1,1,1,1,1,1,1,1,1,1
5,,0,1,1,0,1,1,0,1,1,0,1,1
