spark_label_propagation: job_0
,832,832,352,1216,392,392,152,600,440,440,200,616,record sum


spark_label_propagation: job_1
,13056,13056,3584,38400,5552,5392,1200,18512,7504,7664,2384,19888,record sum


spark_label_propagation: job_2
,165888,165888,34816,1081344,63200,60704,9568,516512,102688,105184,25248,564832,record sum


spark_label_propagation: job_3
,1900544,1900544,327680,29753344,653760,624192,76480,14167872,1246784,1276352,251200,15585472,record sum


spark_label_propagation: job_4
,20447232,20447232,3014656,814219264,6407040,6093952,611712,387337856,14040192,14353280,2402944,426881408,record sum


spark_label_propagation: job_0
,832,832,352,1216,392,392,152,600,440,440,200,616,record sum


spark_label_propagation: job_1
,13056,13056,3584,38400,5552,5392,1200,18512,7504,7664,2384,19888,record sum


spark_label_propagation: job_2
,165888,165888,34816,1081344,63200,60704,9568,516512,102688,105184,25248,564832,record sum


spark_label_propagation: job_3
,1900544,1900544,327680,29753344,653760,624192,76480,14167872,1246784,1276352,251200,15585472,record sum


spark_label_propagation: job_4
,20447232,20447232,3014656,814219264,6407040,6093952,611712,387337856,14040192,14353280,2402944,426881408,record sum


spark_label_propagation: job_5
,210763776,210763776,27262976,22250782720,60638976,57522432,4893440,10581990656,150124800,153241344,22369536,11668792064,record sum


